Word	Category	Lemma
reoccurs	Sublist 01	occur
percent	Sublist 01	percent
percentage	Sublist 01	percent
percentages	Sublist 01	percent
period	Sublist 01	period
periodic	Sublist 01	period
periodical	Sublist 01	period
periodically	Sublist 01	period
periodicals	Sublist 01	period
periods	Sublist 01	period
policy	Sublist 01	policy
policies	Sublist 01	policy
principle	Sublist 01	principle
principled	Sublist 01	principle
principles	Sublist 01	principle
unprincipled	Sublist 01	principle
proceed	Sublist 01	proceed
procedural	Sublist 01	proceed
procedure	Sublist 01	proceed
procedures	Sublist 01	proceed
proceeded	Sublist 01	proceed
proceeding	Sublist 01	proceed
proceedings	Sublist 01	proceed
proceeds	Sublist 01	proceed
process	Sublist 01	process
processed	Sublist 01	process
processes	Sublist 01	process
processing	Sublist 01	process
require	Sublist 01	require
required	Sublist 01	require
requirement	Sublist 01	require
requirements	Sublist 01	require
requires	Sublist 01	require
requiring	Sublist 01	require
research	Sublist 01	research
researched	Sublist 01	research
researcher	Sublist 01	research
researchers	Sublist 01	research
researches	Sublist 01	research
researching	Sublist 01	research
respond	Sublist 01	respond
responded	Sublist 01	respond
respondent	Sublist 01	respond
respondents	Sublist 01	respond
responding	Sublist 01	respond
responds	Sublist 01	respond
response	Sublist 01	respond
responses	Sublist 01	respond
responsive	Sublist 01	respond
responsiveness	Sublist 01	respond
unresponsive	Sublist 01	respond
role	Sublist 01	role
roles	Sublist 01	role
section	Sublist 01	section
sectioned	Sublist 01	section
sectioning	Sublist 01	section
sections	Sublist 01	section
sector	Sublist 01	sector
sectors	Sublist 01	sector
significant	Sublist 01	significant
insignificant	Sublist 01	significant
insignificantly	Sublist 01	significant
significance	Sublist 01	significant
significantly	Sublist 01	significant
signified	Sublist 01	significant
signifies	Sublist 01	significant
signify	Sublist 01	significant
signifying	Sublist 01	significant
similar	Sublist 01	similar
dissimilar	Sublist 01	similar
similarities	Sublist 01	similar
similarity	Sublist 01	similar
similarly	Sublist 01	similar
source	Sublist 01	source
sourced	Sublist 01	source
sources	Sublist 01	source
sourcing	Sublist 01	source
specific	Sublist 01	specific
specifically	Sublist 01	specific
specification	Sublist 01	specific
specifications	Sublist 01	specific
specificity	Sublist 01	specific
specifics	Sublist 01	specific
structure	Sublist 01	structure
restructure	Sublist 01	structure
restructured	Sublist 01	structure
restructures	Sublist 01	structure
restructuring	Sublist 01	structure
structural	Sublist 01	structure
structurally	Sublist 01	structure
structured	Sublist 01	structure
structures	Sublist 01	structure
structuring	Sublist 01	structure
unstructured	Sublist 01	structure
theory	Sublist 01	theory
theoretical	Sublist 01	theory
theoretically	Sublist 01	theory
theories	Sublist 01	theory
theorist	Sublist 01	theory
theorists	Sublist 01	theory
vary	Sublist 01	vary
invariable	Sublist 01	vary
invariably	Sublist 01	vary
variability	Sublist 01	vary
variable	Sublist 01	vary
variables	Sublist 01	vary
variably	Sublist 01	vary
variance	Sublist 01	vary
variant	Sublist 01	vary
variants	Sublist 01	vary
variation	Sublist 01	vary
variations	Sublist 01	vary
varied	Sublist 01	vary
varies	Sublist 01	vary
varying	Sublist 01	vary
achieve	Sublist 02	achieve
achievable	Sublist 02	achieve
achieved	Sublist 02	achieve
achievement	Sublist 02	achieve
achievements	Sublist 02	achieve
achieves	Sublist 02	achieve
achieving	Sublist 02	achieve
acquire	Sublist 02	acquire
acquired	Sublist 02	acquire
acquires	Sublist 02	acquire
acquiring	Sublist 02	acquire
acquisition	Sublist 02	acquire
acquisitions	Sublist 02	acquire
administrate	Sublist 02	administrate
administrates	Sublist 02	administrate
administration	Sublist 02	administrate
administrations	Sublist 02	administrate
administrative	Sublist 02	administrate
administratively	Sublist 02	administrate
administrator	Sublist 02	administrate
administrators	Sublist 02	administrate
affect	Sublist 02	affect
affected	Sublist 02	affect
affecting	Sublist 02	affect
affective	Sublist 02	affect
affectively	Sublist 02	affect
affects	Sublist 02	affect
unaffected	Sublist 02	affect
appropriate	Sublist 02	appropriate
appropriacy	Sublist 02	appropriate
appropriately	Sublist 02	appropriate
appropriateness	Sublist 02	appropriate
inappropriacy	Sublist 02	appropriate
inappropriate	Sublist 02	appropriate
inappropriately	Sublist 02	appropriate
aspect	Sublist 02	aspect
aspects	Sublist 02	aspect
assist	Sublist 02	assist
assistance	Sublist 02	assist
assistant	Sublist 02	assist
assistants	Sublist 02	assist
assisted	Sublist 02	assist
assisting	Sublist 02	assist
assists	Sublist 02	assist
unassisted	Sublist 02	assist
category	Sublist 02	category
categories	Sublist 02	category
categorisation	Sublist 02	category
categorise	Sublist 02	category
categorised	Sublist 02	category
categorises	Sublist 02	category
categorising	Sublist 02	category
categorization	Sublist 02	category
categorized	Sublist 02	category
categorizes	Sublist 02	category
categorizing	Sublist 02	category
chapter	Sublist 02	chapter
chapters	Sublist 02	chapter
commission	Sublist 02	commission
commissioned	Sublist 02	commission
commissioner	Sublist 02	commission
commissioners	Sublist 02	commission
commissioning	Sublist 02	commission
commissions	Sublist 02	commission
community	Sublist 02	community
communities	Sublist 02	community
complex	Sublist 02	complex
complexities	Sublist 02	complex
complexity	Sublist 02	complex
compute	Sublist 02	compute
computable	Sublist 02	compute
computation	Sublist 02	compute
computational	Sublist 02	compute
computations	Sublist 02	compute
computed	Sublist 02	compute
computer	Sublist 02	compute
computerised	Sublist 02	compute
computers	Sublist 02	compute
computing	Sublist 02	compute
conclude	Sublist 02	conclude
concluded	Sublist 02	conclude
concludes	Sublist 02	conclude
concluding	Sublist 02	conclude
conclusion	Sublist 02	conclude
conclusions	Sublist 02	conclude
conclusive	Sublist 02	conclude
conclusively	Sublist 02	conclude
inconclusive	Sublist 02	conclude
inconclusively	Sublist 02	conclude
conduct	Sublist 02	conduct
conducted	Sublist 02	conduct
conducting	Sublist 02	conduct
conducts	Sublist 02	conduct
consequent	Sublist 02	consequent
consequence	Sublist 02	consequent
consequences	Sublist 02	consequent
consequently	Sublist 02	consequent
construct	Sublist 02	construct
constructed	Sublist 02	construct
constructing	Sublist 02	construct
construction	Sublist 02	construct
constructions	Sublist 02	construct
constructive	Sublist 02	construct
constructs	Sublist 02	construct
reconstruct	Sublist 02	construct
reconstructed	Sublist 02	construct
reconstructing	Sublist 02	construct
reconstruction	Sublist 02	construct
reconstructs	Sublist 02	construct
consume	Sublist 02	consume
consumed	Sublist 02	consume
consumer	Sublist 02	consume
consumers	Sublist 02	consume
consumes	Sublist 02	consume
consuming	Sublist 02	consume
consumption	Sublist 02	consume
credit	Sublist 02	credit
credited	Sublist 02	credit
crediting	Sublist 02	credit
creditor	Sublist 02	credit
creditors	Sublist 02	credit
credits	Sublist 02	credit
culture	Sublist 02	culture
cultural	Sublist 02	culture
culturally	Sublist 02	culture
cultured	Sublist 02	culture
cultures	Sublist 02	culture
uncultured	Sublist 02	culture
design	Sublist 02	design
designed	Sublist 02	design
designer	Sublist 02	design
designers	Sublist 02	design
designing	Sublist 02	design
designs	Sublist 02	design
distinct	Sublist 02	distinct
distinction	Sublist 02	distinct
distinctions	Sublist 02	distinct
distinctive	Sublist 02	distinct
distinctively	Sublist 02	distinct
distinctly	Sublist 02	distinct
indistinct	Sublist 02	distinct
indistinctly	Sublist 02	distinct
element	Sublist 02	element
elements	Sublist 02	element
equate	Sublist 02	equate
equated	Sublist 02	equate
equates	Sublist 02	equate
equating	Sublist 02	equate
equation	Sublist 02	equate
equations	Sublist 02	equate
evaluate	Sublist 02	evaluate
evaluated	Sublist 02	evaluate
evaluates	Sublist 02	evaluate
evaluating	Sublist 02	evaluate
evaluation	Sublist 02	evaluate
evaluations	Sublist 02	evaluate
evaluative	Sublist 02	evaluate
re-evaluate	Sublist 02	evaluate
re-evaluated	Sublist 02	evaluate
re-evaluates	Sublist 02	evaluate
re-evaluating	Sublist 02	evaluate
re-evaluation	Sublist 02	evaluate
feature	Sublist 02	feature
featured	Sublist 02	feature
features	Sublist 02	feature
featuring	Sublist 02	feature
final	Sublist 02	final
finalise	Sublist 02	final
finalised	Sublist 02	final
finalises	Sublist 02	final
finalising	Sublist 02	final
finality	Sublist 02	final
finalize	Sublist 02	final
finalized	Sublist 02	final
finalizes	Sublist 02	final
finalizing	Sublist 02	final
finally	Sublist 02	final
finals	Sublist 02	final
focus	Sublist 02	focus
focused	Sublist 02	focus
focuses	Sublist 02	focus
focusing	Sublist 02	focus
focussed	Sublist 02	focus
focussing	Sublist 02	focus
refocus	Sublist 02	focus
refocused	Sublist 02	focus
refocuses	Sublist 02	focus
refocusing	Sublist 02	focus
refocussed	Sublist 02	focus
refocusses	Sublist 02	focus
refocussing	Sublist 02	focus
impact	Sublist 02	impact
impacted	Sublist 02	impact
impacting	Sublist 02	impact
impacts	Sublist 02	impact
injure	Sublist 02	injure
injured	Sublist 02	injure
injures	Sublist 02	injure
injuries	Sublist 02	injure
injuring	Sublist 02	injure
injury	Sublist 02	injure
uninjured	Sublist 02	injure
institute	Sublist 02	institute
instituted	Sublist 02	institute
institutes	Sublist 02	institute
instituting	Sublist 02	institute
institution	Sublist 02	institute
institutional	Sublist 02	institute
institutionalise	Sublist 02	institute
institutionalised	Sublist 02	institute
institutionalises	Sublist 02	institute
institutionalising	Sublist 02	institute
institutionalized	Sublist 02	institute
institutionalizes	Sublist 02	institute
institutionalizing	Sublist 02	institute
institutionally	Sublist 02	institute
institutions	Sublist 02	institute
invest	Sublist 02	invest
invested	Sublist 02	invest
investing	Sublist 02	invest
investment	Sublist 02	invest
investments	Sublist 02	invest
investor	Sublist 02	invest
investors	Sublist 02	invest
invests	Sublist 02	invest
reinvest	Sublist 02	invest
reinvested	Sublist 02	invest
reinvesting	Sublist 02	invest
reinvestment	Sublist 02	invest
reinvests	Sublist 02	invest
item	Sublist 02	item
itemisation	Sublist 02	item
itemise	Sublist 02	item
itemised	Sublist 02	item
itemises	Sublist 02	item
itemising	Sublist 02	item
items	Sublist 02	item
journal	Sublist 02	journal
journals	Sublist 02	journal
maintain	Sublist 02	maintain
maintained	Sublist 02	maintain
maintaining	Sublist 02	maintain
maintains	Sublist 02	maintain
maintenance	Sublist 02	maintain
normal	Sublist 02	normal
abnormal	Sublist 02	normal
abnormally	Sublist 02	normal
normalisation	Sublist 02	normal
normalise	Sublist 02	normal
normalised	Sublist 02	normal
normalises	Sublist 02	normal
normalising	Sublist 02	normal
normality	Sublist 02	normal
normalization	Sublist 02	normal
normalize	Sublist 02	normal
normalized	Sublist 02	normal
normalizes	Sublist 02	normal
normalizing	Sublist 02	normal
normally	Sublist 02	normal
obtain	Sublist 02	obtain
obtainable	Sublist 02	obtain
obtained	Sublist 02	obtain
obtaining	Sublist 02	obtain
obtains	Sublist 02	obtain
unobtainable	Sublist 02	obtain
participate	Sublist 02	participate
participant	Sublist 02	participate
participants	Sublist 02	participate
participated	Sublist 02	participate
participates	Sublist 02	participate
participating	Sublist 02	participate
participation	Sublist 02	participate
participatory	Sublist 02	participate
perceive	Sublist 02	perceive
perceived	Sublist 02	perceive
perceives	Sublist 02	perceive
perceiving	Sublist 02	perceive
perception	Sublist 02	perceive
perceptions	Sublist 02	perceive
positive	Sublist 02	positive
positively	Sublist 02	positive
potential	Sublist 02	potential
potentially	Sublist 02	potential
previous	Sublist 02	previous
previously	Sublist 02	previous
primary	Sublist 02	primary
primarily	Sublist 02	primary
purchase	Sublist 02	purchase
purchased	Sublist 02	purchase
purchaser	Sublist 02	purchase
purchasers	Sublist 02	purchase
purchases	Sublist 02	purchase
purchasing	Sublist 02	purchase
range	Sublist 02	range
ranged	Sublist 02	range
ranges	Sublist 02	range
ranging	Sublist 02	range
region	Sublist 02	region
regional	Sublist 02	region
regionally	Sublist 02	region
regions	Sublist 02	region
regulate	Sublist 02	regulate
deregulated	Sublist 02	regulate
deregulates	Sublist 02	regulate
deregulating	Sublist 02	regulate
deregulation	Sublist 02	regulate
regulated	Sublist 02	regulate
regulates	Sublist 02	regulate
regulating	Sublist 02	regulate
regulation	Sublist 02	regulate
regulations	Sublist 02	regulate
regulator	Sublist 02	regulate
regulators	Sublist 02	regulate
regulatory	Sublist 02	regulate
unregulated	Sublist 02	regulate
relevant	Sublist 02	relevant
irrelevance	Sublist 02	relevant
irrelevant	Sublist 02	relevant
relevance	Sublist 02	relevant
reside	Sublist 02	reside
resided	Sublist 02	reside
residence	Sublist 02	reside
resident	Sublist 02	reside
residential	Sublist 02	reside
residents	Sublist 02	reside
resides	Sublist 02	reside
residing	Sublist 02	reside
resource	Sublist 02	resource
resourced	Sublist 02	resource
resourceful	Sublist 02	resource
resources	Sublist 02	resource
resourcing	Sublist 02	resource
under-resourced	Sublist 02	resource
unresourceful	Sublist 02	resource
restrict	Sublist 02	restrict
restricted	Sublist 02	restrict
restricting	Sublist 02	restrict
restriction	Sublist 02	restrict
restrictions	Sublist 02	restrict
restrictive	Sublist 02	restrict
restrictively	Sublist 02	restrict
restricts	Sublist 02	restrict
unrestricted	Sublist 02	restrict
unrestrictive	Sublist 02	restrict
secure	Sublist 02	secure
insecure	Sublist 02	secure
insecurities	Sublist 02	secure
insecurity	Sublist 02	secure
secured	Sublist 02	secure
securely	Sublist 02	secure
secures	Sublist 02	secure
securing	Sublist 02	secure
securities	Sublist 02	secure
security	Sublist 02	secure
seek	Sublist 02	seek
seeking	Sublist 02	seek
seeks	Sublist 02	seek
sought	Sublist 02	seek
select	Sublist 02	select
selected	Sublist 02	select
selecting	Sublist 02	select
selection	Sublist 02	select
selections	Sublist 02	select
selective	Sublist 02	select
selectively	Sublist 02	select
selector	Sublist 02	select
selectors	Sublist 02	select
selects	Sublist 02	select
site	Sublist 02	site
sites	Sublist 02	site
strategy	Sublist 02	strategy
strategic	Sublist 02	strategy
strategically	Sublist 02	strategy
strategies	Sublist 02	strategy
strategist	Sublist 02	strategy
strategists	Sublist 02	strategy
survey	Sublist 02	survey
surveyed	Sublist 02	survey
surveying	Sublist 02	survey
surveys	Sublist 02	survey
text	Sublist 02	text
texts	Sublist 02	text
textual	Sublist 02	text
tradition	Sublist 02	tradition
non-traditional	Sublist 02	tradition
traditional	Sublist 02	tradition
traditionalist	Sublist 02	tradition
traditionally	Sublist 02	tradition
traditions	Sublist 02	tradition
transfer	Sublist 02	transfer
transferable	Sublist 02	transfer
transference	Sublist 02	transfer
transferred	Sublist 02	transfer
transferring	Sublist 02	transfer
transfers	Sublist 02	transfer
alternative	Sublist 03	alternative
alternatively	Sublist 03	alternative
alternatives	Sublist 03	alternative
circumstance	Sublist 03	circumstance
circumstances	Sublist 03	circumstance
comment	Sublist 03	comment
commentaries	Sublist 03	comment
commentary	Sublist 03	comment
commentator	Sublist 03	comment
commentators	Sublist 03	comment
commented	Sublist 03	comment
commenting	Sublist 03	comment
comments	Sublist 03	comment
compensate	Sublist 03	compensate
compensated	Sublist 03	compensate
compensates	Sublist 03	compensate
compensating	Sublist 03	compensate
compensation	Sublist 03	compensate
compensations	Sublist 03	compensate
compensatory	Sublist 03	compensate
component	Sublist 03	component
componentry	Sublist 03	component
components	Sublist 03	component
consent	Sublist 03	consent
consensus	Sublist 03	consent
consented	Sublist 03	consent
consenting	Sublist 03	consent
consents	Sublist 03	consent
considerable	Sublist 03	considerable
considerably	Sublist 03	considerable
constant	Sublist 03	constant
constancy	Sublist 03	constant
constantly	Sublist 03	constant
constants	Sublist 03	constant
inconstancy	Sublist 03	constant
inconstantly	Sublist 03	constant
constrain	Sublist 03	constrain
constrained	Sublist 03	constrain
constraining	Sublist 03	constrain
constrains	Sublist 03	constrain
constraint	Sublist 03	constrain
constraints	Sublist 03	constrain
unconstrained	Sublist 03	constrain
contribute	Sublist 03	contribute
contributed	Sublist 03	contribute
contributes	Sublist 03	contribute
contributing	Sublist 03	contribute
contribution	Sublist 03	contribute
contributions	Sublist 03	contribute
contributor	Sublist 03	contribute
contributors	Sublist 03	contribute
convene	Sublist 03	convene
convened	Sublist 03	convene
convenes	Sublist 03	convene
convening	Sublist 03	convene
convention	Sublist 03	convene
conventional	Sublist 03	convene
conventionally	Sublist 03	convene
conventions	Sublist 03	convene
unconventional	Sublist 03	convene
coordinate	Sublist 03	coordinate
co-ordinate	Sublist 03	coordinate
co-ordinated	Sublist 03	coordinate
co-ordinates	Sublist 03	coordinate
co-ordinating	Sublist 03	coordinate
co-ordination	Sublist 03	coordinate
co-ordinator	Sublist 03	coordinate
co-ordinators	Sublist 03	coordinate
coordinated	Sublist 03	coordinate
coordinates	Sublist 03	coordinate
coordinating	Sublist 03	coordinate
coordination	Sublist 03	coordinate
coordinator	Sublist 03	coordinate
coordinators	Sublist 03	coordinate
core	Sublist 03	core
cored	Sublist 03	core
cores	Sublist 03	core
coring	Sublist 03	core
corporate	Sublist 03	corporate
corporates	Sublist 03	corporate
corporation	Sublist 03	corporate
corporations	Sublist 03	corporate
correspond	Sublist 03	correspond
corresponded	Sublist 03	correspond
correspondence	Sublist 03	correspond
corresponding	Sublist 03	correspond
correspondingly	Sublist 03	correspond
corresponds	Sublist 03	correspond
criteria	Sublist 03	criteria
criterion	Sublist 03	criteria
deduce	Sublist 03	deduce
deduced	Sublist 03	deduce
deduces	Sublist 03	deduce
deducing	Sublist 03	deduce
deduction	Sublist 03	deduce
deductions	Sublist 03	deduce
demonstrate	Sublist 03	demonstrate
demonstrable	Sublist 03	demonstrate
demonstrably	Sublist 03	demonstrate
demonstrated	Sublist 03	demonstrate
demonstrates	Sublist 03	demonstrate
demonstrating	Sublist 03	demonstrate
demonstration	Sublist 03	demonstrate
demonstrations	Sublist 03	demonstrate
demonstrative	Sublist 03	demonstrate
demonstratively	Sublist 03	demonstrate
demonstrator	Sublist 03	demonstrate
demonstrators	Sublist 03	demonstrate
document	Sublist 03	document
documentation	Sublist 03	document
documented	Sublist 03	document
documenting	Sublist 03	document
documents	Sublist 03	document
dominate	Sublist 03	dominate
dominance	Sublist 03	dominate
dominant	Sublist 03	dominate
dominated	Sublist 03	dominate
dominates	Sublist 03	dominate
dominating	Sublist 03	dominate
domination	Sublist 03	dominate
emphasis	Sublist 03	emphasis
emphasise	Sublist 03	emphasis
emphasised	Sublist 03	emphasis
emphasising	Sublist 03	emphasis
emphasize	Sublist 03	emphasis
emphasized	Sublist 03	emphasis
emphasizes	Sublist 03	emphasis
emphasizing	Sublist 03	emphasis
